"Name","Race","Gender","Class","Realm","Guild","AchievementPoints","HonorableKills","Faction","AppearanceCount","CharacterAge","PlayedTime","AchievementsTotal","ilvl"
"Kritikko",10,0,2,"Evermoon","Pravednici",2430,798,"Horde",536,"0 years 4 months 15 days",295479,8225,
"Eszesokis",1,0,8,"Tauri","Ancient Dreamweavers",2430,748,"Alliance",0,"14 years 8 months 9 days",3006047,-1,
"Gaeldi",2,1,10,"WoD","",2430,747,"Horde",0,"8 years 7 months 20 days",693591,-1,
"Lerisdral",1,1,2,"Evermoon","Insolence",2430,736,"Alliance",617,"0 years 10 months 17 days",1205693,3000,852.06
"Beastface",10,1,3,"Evermoon","Champion OF The Horde",2430,707,"Horde",302,"4 years 8 months 7 days",1024234,10165,
"Encounter",11,1,7,"Evermoon","Restricted",2430,705,"Alliance",0,"10 years 11 months 26 days",1992836,-1,
"Legendää",2,0,10,"WoD","Los pingoletas",2430,661,"Horde",0,"7 years 0 months 14 days",1455984,-1,
"Silho",10,1,1,"WoD","Elipson",2430,644,"Horde",1379,"0 years 9 months 18 days",352013,16810,789
"Ennvey",10,1,4,"Evermoon","Skill Issue",2430,580,"Horde",512,"5 years 4 months 15 days",1495776,7915,
"Jegeskáve",1,1,8,"Evermoon","Thunder",2430,547,"Alliance",521,"0 years 4 months 15 days",859635,10915,846.88
"Nasah",11,1,8,"Tauri","Never Broke Again",2430,497,"Alliance",0,"15 years 2 months 14 days",1752789,-1,
"Neztyorf",9,0,4,"Evermoon","V A L H Â L L A",2430,474,"Horde",524,"4 years 5 months 22 days",1793801,12135,
"於词几时休",1,1,4,"Tauri","天空之城",2430,452,"Alliance",0,"6 years 10 months 28 days",1011884,-1,
"Lacrimosa",8,1,9,"Evermoon","Incendia",2430,353,"Horde",0,"6 years 2 months 13 days",1519226,-1,
"Weebslayer",8,0,7,"Evermoon","TOP RAID CLAN",2430,336,"Horde",0,"7 years 10 months 20 days",1487487,-1,
"Cermurros",4,0,12,"WoD","LOS MALPARIDOS",2430,331,"Alliance",237,"0 years 6 months 16 days",584897,8310,
"Tánósámi",2,0,7,"Evermoon","Zsibbadt egerek",2430,308,"Horde",278,"3 years 2 months 14 days",1280862,6210,
"Mikimagee",4,0,8,"Tauri","Angel Rune",2430,307,"Alliance",0,"10 years 2 months 1 days",3509364,-1,
"Bubak",8,0,11,"Evermoon","ComebackGang",2430,284,"Horde",466,"5 years 0 months 1 days",1986282,3365,
"Jalla",11,1,7,"Evermoon","Draconis",2430,269,"Alliance",0,"5 years 6 months 18 days",2772206,-1,
"Lockefeller",9,0,9,"Evermoon","Kingdom Knights",2430,262,"Horde",439,"2 years 4 months 30 days",1299132,11860,851.73
"Celkereszt",4,0,3,"Tauri","Insane Company",2430,252,"Alliance",0,"13 years 6 months 15 days",2057622,-1,
"Gras",1,0,1,"WoD","Forgotten Society",2430,245,"Alliance",505,"7 years 0 months 8 days",947037,3740,
"Nelorand",10,0,5,"Tauri","Vén Kecskék",2430,216,"Horde",442,"14 years 7 months 18 days",2279182,-1,
"Freyå",4,1,5,"Evermoon","Dynasty",2430,214,"Alliance",0,"6 years 3 months 25 days",1733577,-1,
"Rhouge",2,0,4,"Evermoon","ComebackGang",2430,203,"Horde",564,"6 years 2 months 14 days",536689,9385,803.19
"Awornel",1,0,9,"WoD","The Twin Gods",2430,193,"Alliance",0,"10 years 11 months 25 days",1051629,-1,
"Bloodfire",10,1,5,"Evermoon","PINK LAMB",2430,182,"Horde",0,"5 years 11 months 20 days",1473343,-1,
"Knifëpärty",10,0,6,"WoD","MobHelpTruck",2430,173,"Horde",230,"13 years 5 months 22 days",788904,-1,
"Cyberdemon",11,1,1,"Evermoon","Stinkfist",2430,166,"Alliance",0,"2 years 6 months 17 days",1401235,-1,
"Liiz",10,1,4,"Evermoon","Grupo Tera",2430,161,"Horde",612,"4 years 11 months 12 days",702582,2830,
"Oeffort",9,1,5,"WoD","Battle Pet Tamer",2430,148,"Horde",0,"5 years 9 months 23 days",1368895,-1,
"Jingling",25,1,10,"Tauri","Wär Is the Answer",2430,146,"Alliance",0,"9 years 7 months 19 days",1881607,-1,
"Kruidvat",2,0,7,"Evermoon","HAVANA CLÚB",2430,143,"Horde",335,"1 years 6 months 7 days",1303583,5125,
"Gusee",8,0,7,"Evermoon","Warlords of Destruction",2430,138,"Horde",616,"8 years 4 months 18 days",1869282,6460,
"Randomuus",2,0,7,"Tauri","Equilibrium",2430,133,"Horde",241,"11 years 0 months 25 days",1172740,4385,
"Artdraeneito",11,0,7,"Evermoon","Art of Light",2430,132,"Alliance",423,"8 years 1 months 24 days",1176269,13880,
"Applause",8,0,11,"Tauri","Rise of the Brotherhood",2430,118,"Horde",0,"10 years 5 months 4 days",1671289,-1,
"Wodoskorona",11,1,3,"WoD","Vermiliøn Spirits",2430,95,"Alliance",0,"7 years 5 months 11 days",1151599,-1,
"Zsely",10,1,6,"Evermoon","Orden Oscura",2430,93,"Horde",0,"9 years 5 months 12 days",1906802,-1,
"Roken",6,0,2,"Evermoon","Titanes de Azeroth",2430,64,"Horde",240,"5 years 7 months 13 days",682601,8045,
"Lemonxd",5,0,9,"Evermoon","No Scooby Snack For You",2430,58,"Horde",0,"4 years 11 months 0 days",1524444,-1,
"Taiki",22,0,1,"Evermoon","Draconis",2430,57,"Alliance",0,"5 years 11 months 4 days",662920,-1,
"Desdere",9,0,4,"Evermoon","Oblivion",2430,56,"Horde",0,"7 years 1 months 3 days",771819,-1,
"Frostypaw",26,1,8,"Evermoon","Viva el Vino",2430,54,"Horde",228,"3 years 5 months 1 days",1104873,-1,
"Dorthal",22,0,6,"Evermoon","El Estanquillo",2430,49,"Alliance",294,"2 years 5 months 22 days",1119955,-1,
"Spadra",10,0,6,"Tauri","Conclusion",2430,46,"Horde",0,"16 years 6 months 27 days",2122693,-1,
"Dangertwo",8,1,9,"Evermoon","Competence Optional",2430,45,"Horde",227,"2 years 4 months 24 days",1040384,4100,
"Dëyedex",2,1,7,"WoD","Dark Before Dawn",2430,43,"Horde",0,"8 years 11 months 28 days",1068664,-1,
"Diaper",22,0,11,"Evermoon","Chimken and the Nuggies",2430,13,"Alliance",0,"7 years 7 months 25 days",695341,-1,
"Windbell",10,1,3,"Evermoon","Zsibbadt egerek",2430,11,"Horde",1000,"2 years 2 months 3 days",1254476,5295,
"Tristian",22,0,6,"Evermoon","Crows at Midnight",2430,10,"Alliance",544,"1 years 6 months 29 days",1658178,6220,849.44
"Nimoca",1,1,2,"Evermoon","La Voluntad del Gato",2430,8,"Alliance",602,"0 years 1 months 10 days",832530,3585,839.63
"Raagnerock",5,1,4,"Evermoon","Need du stuff",2430,8,"Horde",480,"4 years 11 months 0 days",1154551,6400,
"Hatsume",11,1,2,"Tauri","SHIELD",2430,6,"Alliance",0,"14 years 9 months 20 days",1681034,-1,
"Nightmaw",22,0,11,"WoD","No Mercy",2430,1,"Alliance",0,"8 years 1 months 4 days",595217,-1,
"Ripli",4,1,11,"Tauri","Hand of Adal",2430,1,"Alliance",413,"14 years 0 months 2 days",1773907,2630,
"Зю",1,1,8,"WoD","Shën Kiçk",2425,73498,"Alliance",224,"3 years 9 months 26 days",7990928,10410,
"Menfisz",1,1,9,"Tauri","Keep calm always fight",2425,34866,"Alliance",0,"13 years 9 months 28 days",4519243,-1,
"Clemery",1,0,2,"WoD","",2425,21808,"Alliance",0,"17 years 6 months 25 days",2977102,-1,
"Ulpianus",8,0,11,"WoD","AUTISTIC DOG FREAKS",2425,20912,"Horde",0,"11 years 1 months 16 days",3532183,-1,
"Rheenth",10,0,5,"Tauri","HalálSzárny",2425,15129,"Horde",0,"12 years 6 months 8 days",3415414,-1,
"ßummegyállas",1,0,4,"Tauri","CENZORED",2425,12791,"Alliance",0,"10 years 6 months 6 days",2829474,-1,
"Szinédzser",1,0,6,"Tauri","Keep calm always fight",2425,10442,"Alliance",0,"9 years 8 months 20 days",2600878,-1,
"Ruination",1,1,10,"WoD","Ugandas Finest",2425,9695,"Alliance",0,"7 years 6 months 15 days",1599567,-1,
"Kveen",1,1,10,"WoD","Shën Kiçk",2425,9099,"Alliance",228,"6 years 9 months 16 days",1156337,-1,
"Shyguy",5,0,4,"Tauri","Diamond Horde",2425,7104,"Horde",0,"16 years 3 months 8 days",2619248,-1,
"Hpy",5,1,4,"Tauri","HalálSzárny",2425,6945,"Horde",0,"15 years 6 months 0 days",3214588,-1,
"Luçyliu",4,1,11,"Tauri","",2425,6723,"Alliance",0,"14 years 11 months 21 days",3499012,-1,
"Dãan",3,0,7,"Tauri","",2425,6623,"Alliance",0,"14 years 4 months 15 days",3436510,-1,
"Kiridor",4,0,4,"Tauri","Absolute Loyalty",2425,6180,"Alliance",0,"9 years 3 months 7 days",1434407,-1,
"Caminus",5,1,8,"Tauri","",2425,6001,"Horde",0,"11 years 6 months 21 days",2431782,-1,
"Yooker",1,0,2,"Tauri","Champion of Alliance",2425,5460,"Alliance",0,"17 years 7 months 0 days",4063359,-1,
"Paladinho",10,0,2,"WoD","Only God Can Judge Me",2425,4963,"Horde",0,"10 years 10 months 24 days",1062247,-1,
"Eodian",11,0,8,"WoD","Bankrobbers Nest",2425,4886,"Alliance",0,"12 years 7 months 23 days",1525605,-1,
"Krabbe",3,0,3,"Tauri","Killepitsch",2425,4861,"Alliance",0,"12 years 2 months 6 days",1875165,-1,
"Aung",10,1,10,"WoD","Earthmenders",2425,4662,"Horde",0,"9 years 7 months 21 days",1195451,-1,
"Dragonqeen",3,1,2,"Tauri","Raids Before Grades",2425,4562,"Alliance",299,"14 years 2 months 10 days",1364747,10395,
"Almakarika",10,1,3,"Tauri","Conclusion",2425,4404,"Horde",0,"16 years 0 months 18 days",1684710,-1,
"Paourrix",5,0,4,"Evermoon","Idiocracy",2425,3945,"Horde",689,"2 years 10 months 1 days",1805626,4355,748.13
"Infamously",4,0,11,"Tauri","Fröccsterasz",2425,3803,"Alliance",0,"8 years 0 months 20 days",1400622,-1,
"Gomes",4,0,4,"Tauri","Pandemonium",2425,3558,"Alliance",0,"17 years 7 months 1 days",2215967,-1,
"Ariiya",22,1,1,"Tauri","Phantoms of the Void",2425,3196,"Alliance",0,"11 years 0 months 28 days",1994016,-1,
"Onlycry",10,0,2,"WoD","Zaarkath Bankja",2425,3154,"Horde",0,"12 years 9 months 21 days",1038945,-1,
"Reptîle",22,0,1,"Tauri","",2425,2949,"Alliance",823,"9 years 0 months 1 days",2282241,5580,
"Natureman",4,0,11,"Tauri","Imperials",2425,2871,"Alliance",0,"17 years 0 months 30 days",2005069,-1,
"Acres",1,0,5,"Tauri","Deep Inside",2425,2745,"Alliance",0,"13 years 9 months 24 days",1602857,-1,
"Ällypriest",1,0,5,"Tauri","SHELTER",2425,2673,"Alliance",0,"12 years 11 months 29 days",1780899,-1,
"Rongybimbó",5,1,5,"WoD","",2425,2623,"Horde",391,"7 years 9 months 19 days",1567752,16565,
"Rudymentari",8,1,11,"Evermoon","A Murder of Crows",2425,2538,"Horde",673,"0 years 9 months 0 days",1439752,3090,848.75
"Csapágygolyó",1,0,4,"Tauri","Just of Legends",2425,2454,"Alliance",0,"14 years 11 months 1 days",1193117,-1,
"Vusi",1,1,5,"Tauri","The Damned",2425,2352,"Alliance",394,"11 years 10 months 20 days",1718107,5680,
"Hërsir",2,0,1,"Evermoon","Skill Issue",2425,2333,"Horde",621,"0 years 10 months 29 days",620154,6580,
"Furtando",10,1,6,"Tauri","Sonka Osztag",2425,2142,"Horde",0,"15 years 6 months 26 days",1474335,-1,
"Áronmester",11,0,6,"Tauri","Hádész Csatlósai",2425,1952,"Alliance",0,"10 years 0 months 13 days",1515511,-1,
"Rasztimaszti",3,0,1,"Tauri","ASYLUM",2425,1894,"Alliance",0,"17 years 7 months 1 days",4561080,-1,
"Kitchengett",10,0,6,"WoD","",2425,1858,"Horde",0,"9 years 1 months 8 days",1684515,-1,
"Kimberly",10,1,5,"Evermoon","OID MORTALES",2425,1752,"Horde",335,"0 years 11 months 13 days",646345,7555,
"Pyrostär",8,0,8,"Tauri","Kerubs of Azeroth",2425,1714,"Horde",220,"6 years 3 months 12 days",801966,14830,
"Rasputjin",5,0,9,"Tauri","A Guild Has No Name",2425,1676,"Horde",0,"11 years 8 months 6 days",1992227,-1,
"Helldream",3,0,2,"Tauri","Hádész Csatlósai",2425,1640,"Alliance",776,"11 years 9 months 17 days",1942189,5550,
"Malfuriioon",4,0,11,"Evermoon","Yin Yang",2425,1575,"Alliance",433,"4 years 4 months 1 days",1705288,-1,
"Pandapetike",25,0,10,"WoD","Forgotten Society",2425,1506,"Alliance",0,"9 years 0 months 7 days",1253563,-1,
"Fryle",22,0,6,"Tauri","CSK",2425,1476,"Alliance",430,"10 years 9 months 21 days",1281631,-1,
"Tryggvason",2,1,9,"Evermoon","El Atardecer Sombrio",2425,1424,"Horde",561,"0 years 10 months 12 days",1147298,3185,
"Happyfrost",10,1,8,"Tauri","Dragon's Dogma",2425,1414,"Horde",0,"12 years 1 months 25 days",1348045,-1,
"Boann",10,1,8,"WoD","Aldi Háziasszonyok Epic",2425,1387,"Horde",0,"15 years 5 months 26 days",2513713,-1,
"Kurusumi",4,1,12,"Evermoon","Agente Especial",2425,1188,"Alliance",357,"0 years 6 months 23 days",490064,5590,777.13
"Tyle",2,1,7,"Tauri","Diamond Horde",2425,1076,"Horde",0,"10 years 3 months 9 days",1719795,-1,
"Кицум",2,0,7,"Evermoon","Бабл с коня",2425,1042,"Horde",0,"5 years 2 months 17 days",1143988,-1,
"Dangertrap",8,1,3,"Evermoon","Competence Optional",2425,942,"Horde",498,"2 years 5 months 15 days",1210909,15995,
"Bartolokko",10,0,9,"Evermoon","Zsibbadt egerek",2425,930,"Horde",332,"2 years 2 months 9 days",1130385,7260,766.33
"Rùne",10,0,6,"Evermoon","A Murder of Crows",2425,916,"Horde",523,"1 years 2 months 28 days",614286,18350,
"Waas",2,0,6,"Evermoon","Brutality",2425,879,"Horde",443,"6 years 2 months 20 days",971789,5725,
"Skerza",8,0,3,"Evermoon","Legions Bane",2425,721,"Horde",370,"6 years 6 months 29 days",924250,5115,
"Duoitz",26,1,1,"Tauri","Behemots Division",2425,679,"Horde",467,"9 years 1 months 4 days",1460163,14345,
"Varenor",10,0,8,"Evermoon","GUARDIANES DE LA HORDA",2425,635,"Horde",631,"1 years 7 months 30 days",466858,7075,820.2
"Sushi",10,1,10,"Tauri","Guildless",2425,631,"Horde",358,"5 years 8 months 8 days",1595016,15735,773.56
"Brasnare",2,1,7,"Evermoon","Impaired",2425,613,"Horde",439,"0 years 1 months 20 days",456833,2830,849.75
"Niskareth",1,0,6,"Evermoon","El Ultimo Checkpoint",2425,587,"Alliance",545,"0 years 5 months 7 days",386979,3780,
"Mythicbro",8,0,3,"Tauri","Bloodforge",2425,547,"Horde",0,"11 years 4 months 14 days",2663156,-1,
"Nothnagal",10,0,6,"Tauri","Midnight Moon",2425,543,"Horde",0,"13 years 10 months 25 days",1043522,-1,
"Dinpriest",10,0,5,"Evermoon","HoldMyBeerAndWatchThis",2425,533,"Horde",0,"5 years 5 months 28 days",1339790,-1,
"Telestraa",26,1,10,"Evermoon","Reviewers",2425,529,"Horde",386,"0 years 7 months 29 days",409282,9485,
"Tinadruida",4,1,11,"Evermoon","Valor Lovers",2425,522,"Alliance",0,"4 years 11 months 22 days",2767118,-1,
"Vannic",25,0,5,"Tauri","Silent Rain",2425,509,"Alliance",0,"7 years 6 months 9 days",1711755,-1,
"Meiyan",5,1,10,"Evermoon","Skill Issue",2425,480,"Horde",780,"0 years 8 months 16 days",741938,3135,
"Spaarkeydk",2,0,6,"Tauri","Hand of Arthas",2425,463,"Horde",0,"7 years 9 months 15 days",1157494,-1,
"Sylvaedan",4,0,11,"Evermoon","Dauntless",2425,448,"Alliance",380,"0 years 9 months 8 days",624417,3205,848.13
"Shenarek",10,1,2,"Evermoon","Zakon Czarnego Wilka",2425,432,"Horde",429,"0 years 9 months 12 days",386998,-1,
"Faóra",1,0,1,"Tauri","Destroyer",2425,394,"Alliance",727,"0 years 10 months 17 days",413309,6230,786.63
"Tejbepapesz",22,0,6,"Tauri","Sleepless",2425,390,"Alliance",419,"13 years 4 months 28 days",1005837,6530,
"Hordásdruid",6,0,11,"WoD","War of the Worlds",2425,357,"Horde",0,"15 years 0 months 22 days",2230286,-1,
"Valeryoon",10,0,9,"Evermoon","Casa Targaryen",2425,343,"Horde",333,"4 years 7 months 19 days",2189102,-1,
"Parazol",10,1,5,"WoD","Alpha Dominion",2425,340,"Horde",0,"9 years 4 months 12 days",848625,-1,
"Kwispy",10,1,2,"Evermoon","Sentinel",2425,338,"Horde",608,"0 years 6 months 18 days",580662,4450,
"Sertero",2,0,3,"Evermoon","El Atardecer Sombrio",2425,332,"Horde",578,"4 years 11 months 28 days",1093582,4685,
"Wildtamshade",1,0,3,"Tauri","PØWER",2425,304,"Alliance",418,"6 years 3 months 8 days",2880606,6945,
"Acheris",2,0,1,"Tauri","Chill Company",2425,300,"Horde",526,"9 years 0 months 18 days",504720,13470,
"Dxrgreenthum",22,0,11,"Evermoon","Blessings",2425,300,"Alliance",467,"4 years 6 months 5 days",2167837,13230,845.94
"Kocsis",10,0,10,"Evermoon","Zsibbadt egerek",2425,279,"Horde",175,"3 years 7 months 14 days",1201571,12115,
"Kutyuli",22,1,3,"Evermoon","Red Ðeleters",2425,260,"Alliance",365,"6 years 4 months 16 days",835220,7940,
"Lunatormenta",9,1,1,"Evermoon","Dioses del Pve",2425,256,"Horde",448,"6 years 0 months 10 days",1967388,11930,
"Teleute",10,1,8,"Evermoon","Chaos Legion",2425,225,"Horde",0,"6 years 6 months 0 days",1531045,-1,
"Forsythé",4,0,11,"Evermoon","Defiance",2425,217,"Alliance",604,"2 years 9 months 28 days",1292144,10985,855.19
"Frostangel",11,1,8,"Tauri","Ancient Forgotten Heroes",2425,213,"Alliance",0,"14 years 10 months 23 days",1281428,-1,
"Kromek",8,0,9,"Evermoon","Rycerze Ortalionu",2425,208,"Horde",221,"5 years 8 months 16 days",1580019,-1,
"Neønßläck",4,1,10,"Tauri","Dawnguard",2425,207,"Alliance",447,"5 years 0 months 28 days",1107856,22120,
"Chamito",2,0,7,"Evermoon","Orden Oscura",2425,204,"Horde",0,"5 years 10 months 3 days",1852257,-1,
"Sadriel",10,0,2,"Evermoon","Flirtin With Disaster",2425,159,"Horde",518,"1 years 0 months 23 days",1160242,3590,
"Besouro",26,0,10,"Evermoon","FORGOTTEN SHADOWS",2425,152,"Horde",453,"4 years 1 months 23 days",2006914,7320,848.69
"Endlol",2,1,1,"Evermoon","TOP RAID CLAN",2425,143,"Horde",0,"7 years 9 months 30 days",749352,-1,
"Dasiest",4,1,5,"Evermoon","Cruzada de Los Andes",2425,131,"Alliance",0,"8 years 0 months 14 days",2491809,-1,
"一叶之秋",1,1,10,"Evermoon","兴欣公会",2425,131,"Alliance",253,"6 years 2 months 13 days",1006216,-1,
"Strumstruper",8,0,11,"Tauri","és Társai",2425,130,"Horde",390,"4 years 4 months 10 days",773052,10400,
"Magoulakias",25,0,4,"Tauri","Lorewalkers",2425,106,"Alliance",919,"3 years 1 months 16 days",1333431,6670,
"Jinday",26,0,10,"Evermoon","Servants of Odin",2425,105,"Horde",421,"5 years 8 months 30 days",926308,19040,752.56
"Heliostrasz",10,0,3,"Evermoon","Lockdown",2425,94,"Horde",0,"6 years 2 months 12 days",1217611,-1,
"Kraul",2,1,8,"Evermoon","Dioses del Pve",2425,92,"Horde",425,"7 years 10 months 18 days",815561,9775,841.6
"Brëwslëë",26,1,10,"Tauri","Rémálom Az Elf Utcában",2425,83,"Horde",221,"6 years 2 months 20 days",502965,21105,
"Olexy",10,1,2,"WoD","Pink Rabbits",2425,81,"Horde",95,"14 years 8 months 0 days",1214263,6515,
"Coriee",11,1,2,"Tauri","Pandarens",2425,51,"Alliance",612,"10 years 9 months 16 days",1418411,6785,
"Zairy",8,1,5,"Evermoon","El Imperio del Tabaco",2425,45,"Horde",508,"1 years 6 months 4 days",521779,2775,
"Dantel",6,0,7,"Evermoon","ComebackGang",2425,31,"Horde",445,"3 years 5 months 8 days",1945133,2895,
"Ceikry",10,0,3,"Evermoon","The Dark Exile",2425,29,"Horde",344,"6 years 2 months 15 days",959197,3735,
"Sinfang",10,0,4,"Evermoon","Ascendant",2425,8,"Horde",661,"0 years 0 months 20 days",618591,4220,842.13
"Moonalli",4,1,11,"Evermoon","Crows at Midnight",2425,7,"Alliance",484,"0 years 1 months 15 days",466320,3610,845.19
"Magicdwarf",3,0,8,"WoD","International",2425,5,"Alliance",0,"8 years 10 months 18 days",557426,-1,
"Bragorn",10,0,1,"WoD","DragonBorn",2425,1,"Horde",455,"1 years 0 months 16 days",586471,11985,
"Zouxx",10,0,10,"WoD","Elipson",2425,1,"Horde",607,"2 years 3 months 3 days",814715,8355,
"Ildrel",10,1,3,"Evermoon","Blackrock spy",2425,0,"Horde",620,"8 years 10 months 7 days",1818528,5435,
"Krommag",1,0,8,"Evermoon","DOM",2425,0,"Alliance",892,"2 years 9 months 10 days",1702432,3295,842.87
"Judech",9,0,8,"Evermoon","CannabisCountryClub",2420,30538,"Horde",435,"2 years 7 months 27 days",4188085,2925,
"Triarii",1,0,9,"Tauri","Merowing",2420,22469,"Alliance",0,"16 years 9 months 3 days",3241584,-1,
"Fenyves",7,0,9,"WoD","Immoral Liquidators",2420,21759,"Alliance",0,"17 years 6 months 30 days",3869409,-1,
"Aulin",5,0,4,"Tauri","A Banda",2420,21248,"Horde",0,"17 years 6 months 22 days",6547852,-1,
"Røyäl",4,1,3,"Tauri","CENZORED",2420,14872,"Alliance",466,"12 years 7 months 27 days",3143713,12155,
"Hellgar",3,0,2,"Tauri","Live for the Kill",2420,12102,"Alliance",182,"17 years 6 months 27 days",3535213,9620,
"Rhonjudson",1,0,8,"Tauri","Vub",2420,11163,"Alliance",0,"15 years 3 months 1 days",3414124,-1,
"Eysixa",11,1,8,"Tauri","Eyes of the Spirit",2420,11109,"Alliance",238,"12 years 9 months 0 days",2890825,4955,
"Vikikeeh",1,1,2,"Tauri","Battle of Azeroth",2420,10360,"Alliance",0,"12 years 8 months 20 days",3550300,-1,
"Abbrus",1,0,6,"Tauri","",2420,9884,"Alliance",322,"12 years 5 months 16 days",3189964,-1,
"Keeno",5,0,4,"WoD","Left BeHind",2420,9796,"Horde",0,"17 years 6 months 23 days",2966653,-1,
"Thebetter",11,0,8,"WoD","Oldspájz",2420,9363,"Alliance",0,"15 years 1 months 22 days",2311401,-1,
"Hørda",10,0,2,"WoD","There is no Hope",2420,8886,"Horde",0,"11 years 7 months 8 days",1452351,-1,
"Babfozele",5,0,9,"Tauri","HalálSzárny",2420,8057,"Horde",0,"14 years 11 months 4 days",3075404,-1,
"Octagen",10,0,4,"Tauri","Pirates of Azeroth",2420,6263,"Horde",0,"11 years 7 months 17 days",2077803,-1,
"Agareth",4,0,3,"Tauri","Echo of Silence",2420,6151,"Alliance",0,"13 years 11 months 9 days",3004757,-1,
"Hiyøri",4,1,11,"Tauri","Nightcore",2420,5919,"Alliance",368,"10 years 11 months 7 days",2126845,9880,
"Shacamage",7,0,8,"Tauri","ernourasag zsoldosai",2420,5818,"Alliance",412,"11 years 10 months 28 days",1669916,-1,
"Leonthepro",10,1,4,"Evermoon","Témérité",2420,5603,"Horde",692,"0 years 10 months 1 days",1614224,2565,853
"Ninter",4,0,3,"Tauri","RelaxBroImPro",2420,5174,"Alliance",424,"15 years 1 months 11 days",2006204,-1,
"Baßapiskóta",6,0,1,"WoD","Instinct",2420,5030,"Horde",0,"15 years 1 months 6 days",1386499,-1,
"Turbina",1,1,2,"Tauri","King legion",2420,4997,"Alliance",0,"14 years 0 months 9 days",5409673,-1,
"Shanan",4,1,11,"Tauri","",2420,4983,"Alliance",0,"17 years 7 months 0 days",6938715,-1,
"Moøn",1,1,9,"Evermoon","Tempest",2420,4954,"Alliance",226,"5 years 6 months 21 days",1405137,8265,
"Heartgeather",11,1,5,"Tauri","Kings of Alliance",2420,4728,"Alliance",0,"15 years 8 months 29 days",1185388,-1,
"Palaaron",1,0,2,"Tauri","Legio Immortalis",2420,4727,"Alliance",0,"12 years 8 months 29 days",2677752,-1,
"Music",5,0,4,"Tauri","HalálSzárny",2420,4408,"Horde",252,"17 years 3 months 7 days",2267012,2900,
"Tupacshakur",10,0,2,"Tauri","",2420,4190,"Horde",0,"12 years 7 months 11 days",1857723,-1,
"Tâpi",7,0,1,"Tauri","Die Hard",2420,4142,"Alliance",587,"4 years 7 months 29 days",1759439,12445,
"Sçantraxx",5,0,4,"Tauri","High Heavens",2420,4020,"Horde",0,"11 years 2 months 5 days",2223110,-1,
"Farky",2,0,3,"Tauri","The Crew",2420,3876,"Horde",0,"15 years 7 months 11 days",2033959,-1,
"Lava",2,0,7,"Evermoon","ComebackGang",2420,3782,"Horde",736,"9 years 5 months 17 days",1691665,-1,
"Rynor",1,0,5,"Tauri","Travelers of the Light",2420,3774,"Alliance",0,"12 years 0 months 12 days",1936962,-1,
"Barehanded",3,0,10,"Evermoon","Empire Of The Phoenix",2420,3773,"Alliance",428,"0 years 9 months 6 days",794581,8560,
"Maggotybread",2,0,6,"Tauri","HalálSzárny",2420,3714,"Horde",386,"10 years 9 months 19 days",777353,18635,
"Jäveline",5,1,6,"Tauri","Eçlipse",2420,3652,"Horde",0,"16 years 4 months 5 days",2506698,-1,
"Insomnium",10,1,2,"Evermoon","NobleBlood",2420,3421,"Horde",0,"6 years 8 months 30 days",829249,-1,
"Liandia",10,1,3,"WoD","Asylum of the Chaos",2420,3182,"Horde",0,"11 years 7 months 20 days",1628901,-1,
"Fishys",10,1,1,"Evermoon","A Murder of Crows",2420,3013,"Horde",347,"1 years 8 months 16 days",1629178,2510,
"Ashgard",1,1,2,"Tauri","Legendary of the Azeroth",2420,2894,"Alliance",227,"6 years 5 months 3 days",879845,10635,
"Kunglung",1,0,10,"Tauri","",2420,2892,"Alliance",0,"6 years 5 months 4 days",1367077,-1,
"Megbaszadin",1,1,2,"WoD","No Game No Life",2420,2771,"Alliance",0,"10 years 2 months 14 days",838082,-1,
"Carolbarkskn",8,0,11,"Evermoon","Happy Friends",2420,2565,"Horde",0,"11 years 1 months 16 days",2591284,-1,
"ßäd",1,0,4,"WoD","",2420,2301,"Alliance",0,"10 years 1 months 1 days",2145782,-1,
"Undecim",2,1,10,"Evermoon","Asfrawor",2420,2195,"Horde",655,"1 years 5 months 14 days",1450059,3605,852.19
"Trickstars",10,1,8,"Evermoon","V A L H Â L L A",2420,2099,"Horde",432,"0 years 11 months 2 days",873621,3285,
"Nakedchefx",8,1,5,"Evermoon","Ace of Spadez",2420,2059,"Horde",223,"5 years 11 months 13 days",1304066,23160,
"Äñtïçïðë",2,1,6,"WoD","",2420,2047,"Horde",0,"9 years 2 months 27 days",914292,-1,
"Skyzenless",10,1,9,"Evermoon","CannabisCountryClub",2420,1885,"Horde",251,"5 years 4 months 17 days",1167538,4250,
"Edoriin",4,0,3,"Tauri","Gray Guard",2420,1774,"Alliance",0,"14 years 2 months 2 days",2216145,-1,
"Wonsamdi",8,0,11,"Evermoon","Heart of Phoenix",2420,1771,"Horde",418,"4 years 8 months 2 days",934250,5555,
"Stigim",4,0,11,"Evermoon","Mythiçal",2420,1754,"Alliance",460,"1 years 6 months 3 days",586544,11540,
"Reckoo",4,0,1,"Tauri","Immortal Heroes",2420,1563,"Alliance",0,"13 years 9 months 27 days",1226524,-1,
"Melddon",2,0,3,"Evermoon","Sentinel",2420,1528,"Horde",263,"2 years 9 months 9 days",5044666,-1,
"Klutik",1,0,10,"Evermoon","Cara Máxima",2420,1426,"Alliance",382,"0 years 4 months 29 days",428350,6140,
